Name;Country;Lat;Lon
Antwerpen;BE;51.21669731;4.383127133
Bremerhaven;NL;53.54863553;8.582907771
Hamburg;DK;53.54863553;9.992383947
Wilhelmshaven;NL;53.53717638;8.158919003
Tallinn;EE;59.43864167;24.76896548
Peiraias;EL;37.95272435;23.63450905
Algeciras;PT;36.13071856;-5.448828632
Barcelona;ES;41.3446345;2.165780466
Valencia;ES;39.44814419;-0.320856365
Dunkerque;BE;51.03335081;2.37777485
Le Havre;BE;49.46917603;0.154698605
Marseille;CH;43.292691;5.36861454
Genova;CH;44.39849954;8.92095287
Taranto;IT;40.47946823;17.21738174
Trieste;SI;45.65900669;13.76244624
Riga;LV;56.99211188;24.10433444
Amsterdam;NL;52.4141791;4.807115901
Rotterdam;NL;51.88705793;4.285724308
Sines;PT;37.95272435;-8.869386669
Constanta;BG;44.175046;28.6364306
Goteborg;SE;57.70257955;11.92898129
Immingham;GB;53.62884962;-0.189076072
London;GB;51.49744663;0.498473282
Milford Haven;GB;51.71517059;-5.036299019
Southampton;GB;50.89584094;-1.39801702
Tees Hartlepool;GB;54.60287788;-1.157374746
Bergen;NO;60.38975161;5.305589183
Lorient;FR;47.75030265;-3.357532679
Gijn;ES;43.53333327;-5.660823016
Cagliari;IT;39.2132315;9.104299365
Augusta;IT;37.19642006;15.21202946
Dublin;IE;53.3434427;-6.226654
Liverpool;GB;53.4099688;-2.9924011
Helsinki;FI;60.167429;24.954915