OBJECTID;LONG;LAT;country;y;x
296;14.515258;46.053046;SI;46.137592;14.890637
289;14.761667;46.052222;SI;46.137592;14.890637
292;13.809167;45.890833;SI;46.137592;14.890637
302;15.75;46.676667;SI;46.137592;14.890637
301;14.54166;46.341951;SI;46.137592;14.890637
353;16.983056;48.376389;CZ;49.749174;15.383273
26;4.317238;50.840887;BE;50.618214;4.67501
293;13.768889;45.912778;SI;46.137592;14.890637
175;9.463889;45.413611;CH;46.736781;8.286929
316;14.143889;45.587222;SI;46.137592;14.890637
288;14.350833;46.263056;SI;46.137592;14.890637
355;16.911389;48.343333;CZ;49.749174;15.383273
294;13.703889;45.919167;SI;46.137592;14.890637
27;4.078155;50.409489;BE;50.618214;4.67501
52;15.571111;50.547222;CZ;49.749174;15.383273
157;21.480833;47.523056;HU;47.225273;19.3962
204;21.811944;41.787778;MK;41.594029;21.709989
155;20.158333;46.406389;HU;47.225273;19.3962
295;13.692778;45.921111;SI;46.137592;14.890637
25;5.518056;51.169722;BE;50.618214;4.67501
159;16.891111;47.420278;HU;47.225273;19.3962
160;17.450556;47.466944;HU;47.225273;19.3962
45;9.129435;47.40361;CH;46.736781;8.286929
156;19.798611;46.736389;HU;47.225273;19.3962
203;21.905;41.853611;MK;41.594029;21.709989
154;20.464722;47.67;HU;47.225273;19.3962
28;3.922714;50.523381;BE;50.618214;4.67501
188;14.363611;42.262778;IT;42.982011;12.763657
178;12.071389;44.3225;IT;42.982011;12.763657
202;22.068889;41.853611;MK;41.594029;21.709989
326;19.085278;48.324722;SK;48.698084;19.581015
200;20.724167;56.040833;LT;55.294374;23.946022
174;9.563056;45.489722;CH;46.736781;8.286929
49;13.456111;50.284444;CZ;49.749174;15.383273
51;14.908333;50.4075;CZ;49.749174;15.383273
31;3.366663;50.131606;BE;50.618214;4.67501
324;24.656667;46.414722;RO;45.824549;25.094158
136;18.648889;45.467222;BA;44.144154;17.834672
50;14.2575;50.394444;CZ;49.749174;15.383273
325;21.9575;48.598889;SK;48.698084;19.581015
43;7.409307;47.067159;CH;46.736781;8.286929
137;16.3025;45.663611;HR;44.911921;15.502432
322;17.748056;48.035;HU;47.225273;19.3962
44;7.987218;47.296089;CH;46.736781;8.286929
181;13.260278;43.578611;IT;42.982011;12.763657
177;11.391944;44.716667;IT;42.982011;12.763657
138;16.793611;45.413056;HR;44.911921;15.502432
183;16.489444;40.518889;IT;42.982011;12.763657
182;13.956944;42.650833;IT;42.982011;12.763657
323;17.748056;48.035;HU;47.225273;19.3962
176;11.176389;44.947222;IT;42.982011;12.763657
46;7.706435;47.062839;CH;46.736781;8.286929
134;21.148889;40.296111;MK;41.594029;21.709989
135;17.7225;45.804167;BA;44.144154;17.834672
133;22.615833;40.56;EL;39.420123;23.110369
78;11.4;54.7;DK;56.001188;9.378671
79;10.0018;56.56119;DK;56.001188;9.378671
201;22.33267;56.60013;LV;56.813853;24.693671
232;18.290556;52.563611;PL;52.068481;19.435733
233;18.226667;52.466389;PL;52.068481;19.435733
234;18.581667;52.453333;PL;52.068481;19.435733
235;18.806944;52.62;PL;52.068481;19.435733